[Speed Sensor] Speed | Speed: 53.37 km/h | Timestamp: 2024-11-29 05:17:05
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:20:46
[Speed Sensor] Speed | Speed: 71.64 km/h | Timestamp: 2024-11-29 05:20:52
[Vehicle Count Sensor] Vehicle Count | Vehicles: 8 | Timestamp: 2024-11-29 05:20:52
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:20:52
[Speed Sensor] Speed | Speed: 75.54 km/h | Timestamp: 2024-11-29 05:20:58
[Vehicle Count Sensor] Vehicle Count | Vehicles: 92 | Timestamp: 2024-11-29 05:20:58
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:20:58
[Speed Sensor] Speed | Speed: 90.43 km/h | Timestamp: 2024-11-29 05:21:04
[Vehicle Count Sensor] Vehicle Count | Vehicles: 79 | Timestamp: 2024-11-29 05:21:04
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:21:04
[Speed Sensor] Speed | Speed: 98.60 km/h | Timestamp: 2024-11-29 05:21:10
[Vehicle Count Sensor] Vehicle Count | Vehicles: 31 | Timestamp: 2024-11-29 05:21:10
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:21:10
[Speed Sensor] Speed | Speed: 45.55 km/h | Timestamp: 2024-11-29 05:21:16
[Vehicle Count Sensor] Vehicle Count | Vehicles: 106 | Timestamp: 2024-11-29 05:21:16
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:21:16
[Speed Sensor] Speed | Speed: 47.38 km/h | Timestamp: 2024-11-29 05:21:22
[Vehicle Count Sensor] Vehicle Count | Vehicles: 148 | Timestamp: 2024-11-29 05:21:22
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:21:22
[Speed Sensor] Speed | Speed: 95.07 km/h | Timestamp: 2024-11-29 05:21:29
[Vehicle Count Sensor] Vehicle Count | Vehicles: 84 | Timestamp: 2024-11-29 05:21:29
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:21:29
[Speed Sensor] Speed | Speed: 32.42 km/h | Timestamp: 2024-11-29 05:21:35
[Vehicle Count Sensor] Vehicle Count | Vehicles: 111 | Timestamp: 2024-11-29 05:21:35
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:21:35
[Speed Sensor] Speed | Speed: 49.78 km/h | Timestamp: 2024-11-29 05:21:41
[Vehicle Count Sensor] Vehicle Count | Vehicles: 58 | Timestamp: 2024-11-29 05:21:41
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:21:41
[Speed Sensor] Speed | Speed: 56.88 km/h | Timestamp: 2024-11-29 05:21:47
[Vehicle Count Sensor] Vehicle Count | Vehicles: 186 | Timestamp: 2024-11-29 05:21:47
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:21:47
[Speed Sensor] Speed | Speed: 82.14 km/h | Timestamp: 2024-11-29 05:21:53
[Vehicle Count Sensor] Vehicle Count | Vehicles: 22 | Timestamp: 2024-11-29 05:21:53
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:21:53
[Speed Sensor] Speed | Speed: 76.07 km/h | Timestamp: 2024-11-29 05:21:59
[Vehicle Count Sensor] Vehicle Count | Vehicles: 23 | Timestamp: 2024-11-29 05:21:59
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:21:59
[Speed Sensor] Speed | Speed: 98.16 km/h | Timestamp: 2024-11-29 05:22:05
[Vehicle Count Sensor] Vehicle Count | Vehicles: 12 | Timestamp: 2024-11-29 05:22:05
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:22:05
[Speed Sensor] Speed | Speed: 63.84 km/h | Timestamp: 2024-11-29 05:22:11
[Vehicle Count Sensor] Vehicle Count | Vehicles: 143 | Timestamp: 2024-11-29 05:22:11
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:22:11
[Speed Sensor] Speed | Speed: 41.43 km/h | Timestamp: 2024-11-29 05:22:17
[Vehicle Count Sensor] Vehicle Count | Vehicles: 166 | Timestamp: 2024-11-29 05:22:17
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:22:17
[Speed Sensor] Speed | Speed: 38.21 km/h | Timestamp: 2024-11-29 05:22:23
[Vehicle Count Sensor] Vehicle Count | Vehicles: 163 | Timestamp: 2024-11-29 05:22:23
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:22:23
[Speed Sensor] Speed | Speed: 80.56 km/h | Timestamp: 2024-11-29 05:22:29
[Vehicle Count Sensor] Vehicle Count | Vehicles: 135 | Timestamp: 2024-11-29 05:22:29
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:22:29
[Speed Sensor] Speed | Speed: 34.13 km/h | Timestamp: 2024-11-29 05:22:35
[Vehicle Count Sensor] Vehicle Count | Vehicles: 90 | Timestamp: 2024-11-29 05:22:35
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:22:35
[Speed Sensor] Speed | Speed: 35.35 km/h | Timestamp: 2024-11-29 05:22:41
[Vehicle Count Sensor] Vehicle Count | Vehicles: 189 | Timestamp: 2024-11-29 05:22:41
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:22:41
[Speed Sensor] Speed | Speed: 81.99 km/h | Timestamp: 2024-11-29 05:22:47
[Vehicle Count Sensor] Vehicle Count | Vehicles: 129 | Timestamp: 2024-11-29 05:22:47
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:22:47
[Speed Sensor] Speed | Speed: 72.79 km/h | Timestamp: 2024-11-29 05:22:53
[Vehicle Count Sensor] Vehicle Count | Vehicles: 107 | Timestamp: 2024-11-29 05:22:53
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:22:53
[Speed Sensor] Speed | Speed: 72.28 km/h | Timestamp: 2024-11-29 05:22:59
[Vehicle Count Sensor] Vehicle Count | Vehicles: 5 | Timestamp: 2024-11-29 05:22:59
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:22:59
[Speed Sensor] Speed | Speed: 39.88 km/h | Timestamp: 2024-11-29 05:23:05
[Vehicle Count Sensor] Vehicle Count | Vehicles: 4 | Timestamp: 2024-11-29 05:23:05
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:23:05
[Speed Sensor] Speed | Speed: 78.74 km/h | Timestamp: 2024-11-29 05:23:11
[Vehicle Count Sensor] Vehicle Count | Vehicles: 6 | Timestamp: 2024-11-29 05:23:11
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:23:11
[Speed Sensor] Speed | Speed: 37.67 km/h | Timestamp: 2024-11-29 05:23:17
[Vehicle Count Sensor] Vehicle Count | Vehicles: 149 | Timestamp: 2024-11-29 05:23:17
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:23:17
[Speed Sensor] Speed | Speed: 70.03 km/h | Timestamp: 2024-11-29 05:23:23
[Vehicle Count Sensor] Vehicle Count | Vehicles: 192 | Timestamp: 2024-11-29 05:23:23
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:23:23
[Speed Sensor] Speed | Speed: 46.27 km/h | Timestamp: 2024-11-29 05:23:29
[Vehicle Count Sensor] Vehicle Count | Vehicles: 162 | Timestamp: 2024-11-29 05:23:29
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:23:29
[Speed Sensor] Speed | Speed: 35.99 km/h | Timestamp: 2024-11-29 05:23:35
[Vehicle Count Sensor] Vehicle Count | Vehicles: 156 | Timestamp: 2024-11-29 05:23:35
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:23:35
[Speed Sensor] Speed | Speed: 86.43 km/h | Timestamp: 2024-11-29 05:23:41
[Vehicle Count Sensor] Vehicle Count | Vehicles: 89 | Timestamp: 2024-11-29 05:23:41
[Temperature Sensor 1] Temperature | Temperature: 0.00°C | Timestamp: 2024-11-29 05:23:41
[Speed Sensor] Speed | Speed: 89.79 km/h | Timestamp: 2024-11-29 05:24:06
[Vehicle Count Sensor] Vehicle Count | Vehicles: 42 | Timestamp: 2024-11-29 05:24:06
[Temperature Sensor 1] Temperature | Temperature: 14.99°C | Timestamp: 2024-11-29 05:24:06
[Speed Sensor] Speed | Speed: 62.85 km/h | Timestamp: 2024-11-29 05:24:12
[Vehicle Count Sensor] Vehicle Count | Vehicles: 77 | Timestamp: 2024-11-29 05:24:12
[Temperature Sensor 1] Temperature | Temperature: 10.29°C | Timestamp: 2024-11-29 05:24:12
[Speed Sensor] Speed | Speed: 52.78 km/h | Timestamp: 2024-11-29 05:24:18
[Vehicle Count Sensor] Vehicle Count | Vehicles: 63 | Timestamp: 2024-11-29 05:24:18
[Temperature Sensor 1] Temperature | Temperature: 16.28°C | Timestamp: 2024-11-29 05:24:18
